class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
WDMS,6261,56219,862,True,20.9812,20.8969,20.8542,20.5661,20.8537,20.744,20.5612,20.5726,20.6473,20.9487,20.9691,20.7416,20.7283,20.706,20.7368,20.7137,20.7494,20.8323,20.7973,20.8528,20.8666,20.9059,20.8643,20.8836,20.8924,20.8987,21.0256,21.0426,21.0223,21.0194,20.9369,20.8801,20.9555,20.9104,20.8545,20.7041,20.5737,20.6839,20.719,20.6865,20.6225,20.5296,20.3708,20.4005,20.412,20.3943,20.3785,20.4158,20.2984,20.1131,20.1156,20.2133,20.0637
WDMS,4227,55481,336,True,22.4675,22.3962,22.1464,22.2001,22.1192,21.8782,21.5438,21.4079,21.3607,21.3381,21.1801,21.1669,21.0912,20.9353,20.7159,20.5667,20.5948,20.4913,20.3747,20.3195,20.5452,20.2815,20.1608,20.3682,20.1073,19.8002,19.5529,19.555,19.7795,19.7922,19.5299,19.2014,19.3967,19.2525,18.806,18.5714,18.4691,18.4943,18.7058,18.5784,18.3963,18.2462,18.1155,18.0772,18.0247,18.0607,18.113,18.0265,17.943,17.8453,17.8397,17.8168,17.7117
WDMS,1880,53262,198,True,18.2595,18.0731,17.9404,17.8863,17.8465,17.6922,17.5372,17.4494,17.435,17.4516,17.3916,17.3915,17.4518,17.3563,17.1445,17.0827,16.9974,16.9301,16.8543,16.7864,16.7871,16.7077,16.6949,16.6887,16.6374,16.5896,16.5455,16.5072,16.4893,16.4873,16.4527,16.3967,16.3793,16.346,16.2939,16.2609,16.2338,16.2097,16.1965,16.1577,16.1437,16.1183,16.0936,16.0692,16.0607,16.0445,16.0387,16.0166,15.9908,15.951,15.9319,15.9185,15.8719
WDMS,1005,52703,106,True,19.0822,18.9732,18.9788,18.7958,19.0088,18.9229,18.7225,18.7014,18.7171,18.8932,18.9169,18.757,18.7585,18.7191,18.6635,18.6358,18.6323,18.6353,18.5667,18.5411,18.6478,18.5654,18.5276,18.6279,18.5466,18.4267,18.3424,18.274,18.3445,18.443,18.3708,18.1619,18.1274,18.043,17.8563,17.7648,17.7231,17.7158,17.7286,17.6426,17.6063,17.5402,17.4696,17.449,17.4143,17.4208,17.405,17.369,17.3681,17.3086,17.3515,18.3936,20.9934
WDMS,3868,55360,672,True,21.3671,21.2044,21.1221,20.9383,21.1451,21.043,20.8512,20.8191,20.8248,21.0969,21.1531,20.8938,20.8451,20.8611,20.8548,20.8121,20.8248,20.7898,20.8785,20.9117,20.9469,20.9508,20.9508,20.9587,20.992,20.9865,21.0684,21.0769,21.0325,20.9701,21.0095,20.9819,21.0081,20.8884,20.7555,20.7261,20.6798,20.7075,20.7598,20.5803,20.5175,20.5846,20.5149,20.4431,20.3569,20.394,20.4654,20.4461,20.4216,20.2473,20.1881,20.2378,20.1807
WDMS,2381,53762,590,True,17.5147,17.46,17.4445,17.4682,17.4348,17.3549,17.2273,17.1454,17.1213,17.1316,17.0367,17.0304,16.9992,16.9263,16.7431,16.6517,16.7142,16.6831,16.5381,16.5146,16.7288,16.5191,16.4296,16.6409,16.4001,16.1125,15.8908,15.9078,16.1376,16.1827,15.9486,15.6409,15.7997,15.6879,15.3029,15.0922,14.9991,15.0301,15.1962,15.1001,14.9654,14.8282,14.7098,14.6989,14.6686,14.6927,14.7151,14.6518,14.5957,14.5264,14.5131,14.4821,14.4101
WDMS,4456,55537,555,True,18.3427,18.364,18.365,18.3922,18.4254,18.4943,18.5361,18.5397,18.5748,18.6077,18.6619,18.7011,18.7231,18.7549,18.785,18.8194,18.85,18.8819,18.93,19.0022,19.0535,19.0232,19.0528,19.0725,19.12,19.1587,19.1895,19.2406,19.2955,19.2903,19.3043,19.3448,19.3837,19.3981,19.4282,19.4591,19.4785,19.5066,19.4946,19.5039,19.5856,19.6057,19.6199,19.6622,19.6758,19.7139,19.6896,19.8157,19.7805,19.7298,19.7688,19.7934,19.658
WDMS,665,52168,327,True,19.4329,19.3825,19.2767,19.1685,19.1181,19.1131,19.1043,19.0884,19.0434,19.0237,19.0018,18.8886,18.8041,18.8776,18.897,18.9145,18.9325,18.9181,18.8698,18.8326,18.8558,18.8672,18.8268,18.7887,18.7826,18.7689,18.7613,18.7752,18.7514,18.7119,18.7356,18.7028,18.6933,18.6961,18.6597,18.6491,18.6429,18.5981,18.6367,18.6362,18.5822,18.5568,18.5676,18.5302,18.5035,18.4806,18.4688,18.5009,18.4684,18.4591,18.5182,18.371,18.1465
WDMS,3665,55247,243,True,21.6114,21.4053,21.2981,21.2815,21.3045,21.2273,21.1108,21.0401,21.0055,20.9946,20.9523,20.918,20.8776,20.8298,20.6762,20.6261,20.6195,20.5404,20.4537,20.4085,20.5282,20.4046,20.3581,20.4684,20.3142,20.1771,20.0576,20.0519,20.1401,20.1709,20.033,19.8319,19.9087,19.8258,19.5554,19.4158,19.3486,19.3513,19.4417,19.3924,19.2988,19.1861,19.0854,19.0662,19.0232,19.042,19.046,19.0006,18.9852,18.8933,18.9125,18.8851,18.7809
WDMS,7238,56660,610,True,18.5524,18.47,18.4467,18.4181,18.4303,18.3108,18.1141,18.0241,17.9929,18.0329,17.91,17.8491,17.7928,17.7136,17.4992,17.3812,17.4796,17.4491,17.2726,17.2416,17.4944,17.2629,17.1574,17.4039,17.096,16.748,16.4619,16.4952,16.7854,16.7952,16.5159,16.1632,16.3837,16.2295,15.7395,15.4678,15.3521,15.4077,15.6547,15.5235,15.3506,15.1691,15.008,14.9836,14.9495,14.9841,15.026,14.9531,14.8828,14.7935,14.7667,14.7164,14.6097
WDMS,5943,56218,568,True,22.16,21.8787,21.8457,21.6181,21.8867,21.8084,21.5441,21.5656,21.7245,21.8659,21.965,21.7367,21.6232,21.6513,21.6476,21.6719,21.7442,21.7082,21.7166,21.7657,21.6224,21.764,21.7466,21.8023,21.7693,21.7346,21.8249,22.0228,21.9445,21.9484,21.9873,21.7751,22.0116,21.9145,21.4981,21.5797,21.692,21.5117,21.5713,21.4563,21.2892,21.2333,21.245,21.2972,21.1126,21.2714,21.4706,21.5167,21.6334,20.8273,20.8959,21.1073,20.9322
WDMS,3663,55176,572,True,22.0822,21.9247,21.8601,21.5522,21.767,21.6714,21.3618,21.3621,21.3918,21.6056,21.5874,21.3437,21.3396,21.343,21.3143,21.3014,21.3265,21.3229,21.2816,21.3475,21.4565,21.5776,21.4544,21.5055,21.5701,21.7168,21.7355,21.7432,21.6345,21.5652,21.4584,21.4842,21.5268,21.5647,21.4526,21.314,21.1482,21.1997,21.7231,21.662,21.1434,21.3238,20.9973,20.9283,21.1768,21.236,21.2999,21.0373,20.9613,21.0495,21.1134,20.8882,20.662
WDMS,7407,56772,211,True,20.4429,20.3836,20.3317,20.2945,20.3262,20.2891,20.2089,20.1726,20.1665,20.1966,20.1694,20.096,20.0655,20.0446,20.0132,19.9901,20.0099,19.9415,19.9677,19.9606,19.9799,19.9347,19.9137,19.9348,19.827,19.783,19.7629,19.7864,19.7952,19.7472,19.6462,19.5379,19.6713,19.5684,19.2783,19.1075,19.0191,19.0803,19.326,19.2111,19.1154,18.9376,18.631,18.5609,18.5832,18.6676,18.771,18.6604,18.5396,18.4089,18.3619,18.2733,18.0958
WDMS,5798,56326,94,True,22.325,22.0962,22.0711,21.8916,22.0745,22.0064,21.801,21.7275,21.7645,22.0216,21.9704,21.7088,21.6724,21.6267,21.582,21.5558,21.5939,21.4895,21.6278,21.5689,21.4277,21.4789,21.6797,21.8629,21.7262,21.5896,21.722,21.7181,21.5427,21.6292,21.4423,21.3749,21.4531,21.5451,21.3086,20.9328,20.8107,20.7516,21.1065,21.183,20.8511,20.7614,20.4295,20.4829,20.5045,20.4535,20.5978,20.3042,20.2352,20.3974,20.4566,20.2926,19.9801
WDMS,5740,55998,450,True,20.9585,20.7895,20.7692,20.5901,20.7187,20.6392,20.4984,20.4619,20.4854,20.6609,20.6655,20.4953,20.4542,20.4453,20.4316,20.444,20.4489,20.4448,20.5001,20.4946,20.5408,20.4867,20.438,20.493,20.5182,20.5302,20.5817,20.6654,20.5807,20.5832,20.5964,20.4639,20.5113,20.4421,20.3422,20.22,20.1977,20.3477,20.3893,20.2795,20.3208,20.294,20.015,20.0614,20.0564,20.1795,20.2758,20.0637,20.0505,20.1825,20.151,20.0171,19.8459
WDMS,7449,56740,803,True,21.2071,21.065,21.0317,20.8733,20.9974,20.8982,20.7192,20.7048,20.6938,20.8618,20.8573,20.6461,20.623,20.5989,20.5762,20.5267,20.5442,20.5251,20.5197,20.5623,20.5666,20.5637,20.5162,20.5604,20.5989,20.5499,20.5766,20.6603,20.5611,20.5369,20.4765,20.3671,20.4943,20.5015,20.4064,20.2016,20.1544,20.2467,20.3586,20.3328,20.2089,20.0606,19.9335,19.9591,20.0227,20.0293,20.0162,20.0257,19.9662,19.8838,19.7851,19.7725,19.6938
