class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
QSO,7667,57580,738,True,23.261,23.3321,23.3826,23.3486,23.0961,23.0831,22.9439,22.5463,22.3062,22.1363,22.0552,21.9803,21.6771,21.4193,21.3866,21.4105,21.3661,21.4953,21.505,21.5121,21.7254,21.4075,20.9398,20.2018,19.9943,20.3697,20.6138,20.6837,20.6375,20.6293,20.615,20.5108,20.3294,20.3914,20.5145,20.5295,20.5386,20.4493,20.3472,20.1722,20.104,20.2689,20.3655,20.3343,20.2589,20.2581,20.2814,20.2664,20.2579,20.1906,20.1568,20.1645,20.1386
QSO,943,52376,18,True,19.1638,19.1336,19.0478,18.9908,18.9394,18.8938,18.8831,18.883,18.8922,18.9151,18.7787,18.569,18.6521,18.8389,18.8531,18.8951,18.882,18.7763,18.8442,18.8307,18.8232,18.8178,18.7949,18.8016,18.8572,18.8639,18.853,18.8674,18.868,18.9077,18.8937,18.937,19.0264,19.0533,19.0292,19.0536,19.0983,19.065,19.0036,18.8946,18.9568,18.9816,18.9222,18.8913,18.8949,18.9472,18.9419,18.8315,18.5821,18.6273,18.5036,18.5211,18.9416
QSO,5312,56001,788,True,19.9556,20.1424,20.1409,20.0702,19.8661,20.0038,20.0091,19.9384,19.5062,19.3138,19.7912,19.7305,19.707,19.8332,19.8295,19.7981,19.8081,19.8017,19.7288,19.5147,19.4357,19.7126,19.7276,19.7456,19.7263,19.6848,19.69,19.7211,19.752,19.7298,19.6695,19.6349,19.5584,19.5657,19.5523,19.4982,19.4767,19.4843,19.4672,19.4466,19.4443,19.4654,19.4519,19.4527,19.3834,19.3756,19.2576,19.1031,19.1175,19.251,19.3283,19.3129,19.2035
QSO,4969,56041,730,True,20.7787,21.248,21.4661,21.4663,21.5344,21.4454,21.4478,21.5144,21.4923,21.2934,20.8567,21.0732,21.2463,21.24,21.3255,21.387,21.3206,21.3129,21.3968,21.3544,21.2931,21.1336,21.1049,21.1948,21.252,21.4603,21.4275,21.3684,21.3734,21.3014,21.3537,21.3859,21.4251,21.3433,21.3434,21.359,21.2114,21.0747,21.069,20.9927,20.8355,20.9192,21.1665,21.1372,21.0706,20.8762,20.9993,21.126,20.9112,20.5072,20.468,20.5965,20.7617
QSO,7637,56933,114,True,20.8606,20.87,20.7476,20.7488,20.7573,20.769,20.6583,19.9461,19.7912,20.4851,20.6157,20.7599,20.8318,20.6852,20.5897,20.5835,20.6365,20.6566,20.6004,20.6072,20.6579,20.6336,20.6178,20.4742,20.6212,20.564,20.5834,20.6293,20.717,20.6849,20.7355,20.7863,20.7005,20.4637,20.5036,20.6182,20.5681,20.5218,20.5044,20.5323,20.5716,20.2683,19.9521,19.9889,19.6451,20.1246,20.4048,20.3417,20.2683,20.295,20.3665,20.4203,20.3622
QSO,4634,55626,180,True,20.694,20.0418,20.142,20.4094,20.4703,20.5691,20.5928,20.4274,20.4784,20.65,20.5511,20.6236,20.1032,20.2211,20.331,20.3109,20.376,20.4649,20.3973,20.4169,20.387,20.3868,20.2939,20.1056,20.0966,20.4054,20.5214,20.5182,20.5113,20.4567,20.5458,20.5297,20.5069,20.5063,20.5274,20.4791,20.46,20.3644,20.3627,20.3546,20.3885,20.2812,20.2207,20.2605,20.2732,20.2437,20.2644,20.3319,20.3681,20.4189,20.185,20.1068,19.8821
QSO,7685,57062,6,True,20.4238,20.747,20.6977,20.8565,20.8221,20.7811,20.7978,20.7485,20.3879,20.4273,20.7437,20.7438,20.7017,20.6632,20.6799,20.6821,20.6191,20.5935,20.4856,20.4274,20.4611,20.4246,20.3739,20.3197,20.2183,20.345,20.3494,20.3652,20.3273,20.2858,20.0499,19.9975,20.2524,20.2748,20.2503,20.2532,20.2829,20.3269,20.2497,20.2678,20.2074,20.1555,20.1596,20.1982,20.1765,20.144,20.0923,20.1391,20.201,20.2663,20.1245,20.0959,20.0815
QSO,4507,55564,684,True,20.3919,20.828,21.2168,21.2838,21.3192,21.1491,21.0879,21.224,21.2109,21.0046,20.4704,20.5056,20.864,20.9125,20.8798,21.0301,20.9996,20.9302,21.0567,21.0842,20.987,20.7574,20.7496,20.9204,21.0062,20.9902,21.0833,21.0463,21.0031,20.9368,20.9945,21.0183,21.0105,21.0693,21.0124,20.8484,20.7961,20.7766,20.7646,20.9225,20.9144,20.6954,20.6519,20.5675,20.6737,20.6534,20.6431,20.8376,20.6902,20.3767,20.2069,20.2777,20.3697
QSO,10721,58288,844,True,21.2326,21.2847,21.4133,21.3522,21.3095,21.4114,21.3634,21.5734,21.0149,21.1081,21.1472,21.1453,21.2032,21.2174,21.1947,21.1901,21.179,21.1365,20.9002,20.8004,21.0276,21.049,21.0433,21.0848,21.0024,21.1622,21.1766,21.1202,21.1411,21.119,21.0194,21.0628,20.9891,20.892,20.8119,20.92,20.9218,20.9012,20.7683,20.6191,20.7696,20.7818,20.8996,20.704,20.6766,20.4224,20.432,20.4758,20.4865,20.498,20.4576,20.5504,20.4459
QSO,6009,56313,8,True,16.9214,17.0282,17.3852,17.4157,17.3995,17.3727,17.288,17.3788,17.4112,17.3636,17.1502,17.0772,17.2787,17.3172,17.3307,17.3655,17.3746,17.3538,17.3593,17.3648,17.3381,17.2653,17.1582,17.2278,17.3669,17.4058,17.4142,17.3994,17.3814,17.405,17.4269,17.4364,17.4446,17.4451,17.4234,17.3888,17.366,17.3817,17.3766,17.3437,17.3264,17.331,17.3367,17.3331,17.3111,17.3037,17.3368,17.3678,17.3251,17.2499,17.1685,17.042,17.0279
QSO,4365,55539,915,True,20.7778,20.3859,20.4329,20.6137,20.5748,20.643,20.5949,20.6096,20.6267,20.556,20.3808,20.3087,20.4684,20.5336,20.5517,20.4988,20.4754,20.4864,20.463,20.4749,20.4566,20.353,20.2819,20.2656,20.2489,20.1986,20.198,20.188,20.1754,20.182,20.1829,20.1689,20.1132,20.0545,19.8139,19.8781,20.0794,20.0224,20.0328,20.0701,20.0809,20.046,20.0779,19.997,19.9933,20.0049,19.9902,20.115,20.0722,20.0813,20.0534,19.8972,19.8058
QSO,11072,58436,73,True,21.4672,21.4172,21.3724,21.3695,21.4326,21.3457,21.1385,21.1555,21.3119,21.2914,21.2969,21.2559,21.2074,21.2068,21.1547,21.2124,21.0989,21.1596,21.2652,21.2073,21.1102,21.0334,21.1,21.1612,21.1052,21.2307,21.1566,21.0629,20.941,21.0551,21.0011,20.8876,20.8718,20.946,20.8652,20.8308,20.7776,20.7273,20.7887,20.7522,20.4908,20.5294,20.2105,20.6151,20.7303,20.6736,20.6395,20.6783,20.6386,20.6717,20.7402,20.6118,20.5422
