class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
OBA,477,52026,503,True,19.1936,19.0317,18.9987,18.909,18.9574,18.9239,18.8484,18.8199,18.8083,18.8741,18.853,18.7767,18.7703,18.7883,18.7519,18.7426,18.7385,18.7385,18.7197,18.7277,18.7106,18.7374,18.7311,18.7306,18.7152,18.7091,18.7801,18.7763,18.705,18.7047,18.7065,18.7247,18.7257,18.6915,18.6555,18.7219,18.7402,18.7207,18.7094,18.6933,18.716,18.7359,18.7382,18.7257,18.7777,18.7691,18.7686,18.7421,18.7114,18.6921,18.6159,18.7059,18.7307
OBA,492,51955,463,True,22.2764,22.6022,22.5444,22.7615,22.8603,22.5872,22.7644,22.9294,22.7884,22.813,22.9311,22.829,23.021,22.8445,22.7877,22.8487,22.5629,22.2395,22.6352,22.4792,22.2049,22.8009,22.5744,22.4868,22.6428,22.9124,22.6607,22.9182,23.0072,22.8285,22.821,22.7736,22.7376,22.571,22.4519,22.7652,22.7223,22.408,22.3232,22.0012,21.8868,21.9649,22.0448,22.0533,22.0137,22.167,21.8902,21.145,21.4215,21.4687,21.48,21.4102,21.6352
OBA,525,52295,143,True,16.8134,16.6433,16.664,16.5804,16.7224,16.7231,16.6466,16.6493,16.6594,16.7713,16.7986,16.7082,16.716,16.7352,16.7375,16.7492,16.7572,16.7712,16.7806,16.7899,16.8149,16.8269,16.8452,16.8541,16.8609,16.8768,16.9579,16.9683,16.8995,16.9132,16.9209,16.93,16.9423,16.9489,16.9516,16.9696,16.9765,16.9839,16.9988,16.9983,17.0043,17.0168,17.037,17.0541,17.0477,17.0534,17.061,17.0623,17.0722,17.0671,17.016,17.0102,16.903
OBA,532,51993,434,False,16.818,16.5992,16.5973,16.4668,16.6126,16.5919,16.4948,16.5007,16.5052,16.6413,16.6753,16.5559,16.5728,16.5985,16.6035,16.6084,16.6186,16.6299,16.6456,16.664,16.6854,16.7003,16.7171,16.7302,16.7482,16.7606,16.8559,16.8857,16.7918,16.8039,16.8186,16.8299,16.8402,16.8545,16.8722,16.8882,16.8943,16.8974,16.9113,16.9248,16.937,16.9482,16.9652,16.9697,16.9808,16.9804,16.9958,17.0042,17.014,17.1857,18.6425,21.2925,21.2925
OBA,541,51959,222,True,19.271,19.1091,19.151,19.0745,19.2307,19.2426,19.2111,19.2473,19.2676,19.4195,19.4695,19.3927,19.4126,19.4536,19.4714,19.4926,19.5116,19.5103,19.5274,19.5322,19.5696,19.574,19.5859,19.6001,19.6168,19.6406,19.7108,19.7153,19.629,19.6206,19.6255,19.6464,19.6673,19.6469,19.6133,19.6436,19.6232,19.6903,19.704,19.7027,19.6935,19.6812,19.7095,19.6979,19.7041,19.6365,19.6501,19.6801,19.6755,19.5147,19.5018,19.5522,19.4912
OBA,544,52201,105,False,19.4759,19.5654,19.5018,19.4572,19.4859,19.6555,19.6627,19.5285,19.5399,19.5452,19.6961,19.7119,19.6666,19.6855,19.6977,19.6999,19.692,19.7265,19.7578,19.8508,19.8564,19.8583,20.2122,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888,21.9888
OBA,551,51993,549,True,22.214,22.6148,22.7595,23.1362,22.8749,22.9402,23.1541,23.1657,23.1021,23.0202,22.9128,23.0391,23.138,23.3893,23.0708,22.6965,22.6713,22.7138,23.0043,23.0182,23.162,22.9193,22.9863,23.2178,22.6452,22.605,22.7487,22.6231,22.6892,22.5275,22.4035,22.3801,22.3403,22.3105,22.112,22.2441,22.0886,21.9443,22.1624,22.0507,21.8643,21.7331,21.6019,21.527,21.8657,21.7273,21.4669,21.3774,21.1661,21.3844,21.2612,20.9523,21.1025
OBA,555,52266,516,True,18.7862,18.6009,18.5902,18.4821,18.6188,18.5884,18.5105,18.5086,18.5147,18.6396,18.6597,18.5542,18.5637,18.5776,18.5792,18.5744,18.5694,18.5711,18.5857,18.5867,18.5966,18.6107,18.6216,18.635,18.6233,18.6402,18.722,18.7309,18.6541,18.6516,18.653,18.6587,18.6693,18.6583,18.6438,18.6748,18.6853,18.6857,18.6802,18.6566,18.6439,18.7057,18.7233,18.7363,18.7186,18.7051,18.7035,18.7323,18.7151,18.6637,18.6721,18.7208,18.6317
OBA,560,52296,65,True,18.3856,18.1608,18.1351,18.0341,18.116,18.072,17.9974,17.9679,17.9461,18.0363,18.064,17.9787,17.9837,18.0056,17.992,17.9921,17.9877,17.9871,17.9809,17.9964,17.9961,18.0,18.0191,18.0198,18.0264,18.0332,18.1146,18.1087,18.0439,18.0531,18.0692,18.0671,18.0702,18.069,18.0855,18.1065,18.1307,18.1314,18.1691,18.1475,18.1687,18.1739,18.147,18.1786,18.2306,18.2371,18.2415,18.2032,18.2205,18.2831,18.1993,18.2068,18.0831
OBA,566,52238,25,True,18.1565,17.9441,17.918,17.7828,17.9565,17.9349,17.8372,17.8326,17.8433,17.984,18.0352,17.9146,17.92,17.9461,17.9391,17.9597,17.9644,17.9571,17.9899,18.0269,18.023,18.0202,18.0216,18.0235,18.0584,18.0756,18.1833,18.193,18.1065,18.1223,18.1253,18.1426,18.1582,18.187,18.2137,18.214,18.2045,18.2367,18.2634,18.2949,18.3208,18.3056,18.3027,18.3337,18.3564,18.3634,18.3661,18.3415,18.4087,18.4817,18.4414,18.3624,18.2208
